Source;Target
AB.AA.000;AB.BB.001
AB.AA.000;AB.BB.002
AB.AA.000;AB.BB.003
AB.AA.000;AB.BB.004
AB.AA.000;AB.BB.005
AB.AA.000;AB.BB.006
AB.AA.000;AB.BB.007
AB.AA.000;AB.BB.008
AB.AA.000;AB.BB.009
AB.AA.000;AB.BB.010
AB.AA.000;AB.CC.001
AB.AA.000;AB.CC.002
AB.AA.000;AB.CC.003
AB.AA.000;AB.CC.004
AB.AA.000;AB.CC.005
AB.AA.000;AB.CC.006
AB.AA.000;AB.CC.007
AB.AA.000;AB.DD.001
AB.AA.000;AB.DD.002
AB.AA.000;AB.DD.003
AB.AA.000;AB.DD.004
AB.AA.000;AB.DD.005
AB.AA.000;AB.DD.006
AB.AA.000;AB.DD.007
AB.AA.000;AB.DD.008
AB.AA.000;AB.EE.001
AB.AA.000;AB.EE.002
AB.AA.000;AB.FF.001
AB.AA.000;AB.FF.002
AB.AA.000;AB.FF.003
AB.AA.000;AB.FF.004
AB.AA.000;AB.GG.002
AB.AA.000;AB.GG.003
AB.AA.000;AB.GG.004
AB.AA.000;AB.GG.005
AB.AA.000;AB.GG.006
AB.AA.000;DS.JJ.002
AB.AA.000;PS.GG.019
AB.BB.001;AB.BB.002
AB.BB.001;AB.BB.005
AB.BB.001;AB.CC.001
AB.BB.001;AB.DD.001
AB.BB.001;AB.DD.006
AB.BB.001;BD.EE.005
AB.BB.001;BD.HH.001
AB.BB.001;DS.KK.005
AB.BB.001;ER.AA.000
AB.BB.001;HB.AA.007
AB.BB.001;HB.AA.010
AB.BB.001;KD.JJ.004
AB.BB.001;TS.AA.000
AB.BB.002;AB.BB.003
AB.BB.002;AB.BB.004
AB.BB.002;AB.BB.005
AB.BB.002;AB.BB.006
AB.BB.002;AB.BB.007
AB.BB.002;AB.BB.008
AB.BB.002;AB.BB.009
AB.BB.002;AB.BB.010
AB.BB.003;AB.BB.004
AB.BB.003;AB.GG.006
AB.BB.003;BM.AA.000
AB.BB.003;BM.CC.004
AB.BB.003;HB.AA.008
AB.BB.003;IS.CC.006
AB.BB.003;KD.II.001
AB.BB.003;KD.JJ.007
AB.BB.003;KD.JJ.008
AB.BB.003;LD.AA.000
AB.BB.003;PS.AA.000
AB.BB.003;TL.II.012
AB.BB.004;AB.BB.003
AB.BB.004;AB.DD.006
AB.BB.004;BD.CC.001
AB.BB.004;BD.CC.005
AB.BB.004;BD.HH.006
AB.BB.004;KD.CC.008
AB.BB.004;KD.GG.002
AB.BB.004;KD.GG.005
AB.BB.004;KD.II.003
AB.BB.004;TL.DD.005
