PD#PN;PageRank;InDegree;OutDegree
AB.AA.000;0.0017477048588622264;13;38
AB.BB.001;0.0016877127615499367;15;13
AB.BB.002;0.0007073360793745219;5;8
AB.BB.003;0.004150382690433852;36;12
AB.BB.004;0.0015636148060672584;15;11
AB.BB.005;0.002891524893216383;21;7
AB.BB.006;0.0010484040150895324;8;9
AB.BB.007;0.0016396305993875639;13;6
AB.BB.008;0.0037056984568074945;28;15
AB.BB.009;0.0035168474246349535;25;14
AB.BB.010;0.0012699630431766203;8;13
AB.CC.001;0.000385771754628786;3;5
AB.CC.002;0.001462904090648303;10;11
AB.CC.003;0.0018687511836812983;12;11
AB.CC.004;0.0009937067191530832;5;10
AB.CC.005;0.0010045844738538184;8;13
AB.CC.006;0.0005170849432092995;7;3
AB.CC.007;0.0011379035257662068;10;9
AB.DD.001;0.003698071280107123;24;9
AB.DD.002;0.002921271566232394;13;8
AB.DD.003;0.003332649361979826;16;6
AB.DD.004;0.00381661161020631;19;8
AB.DD.005;0.005528542343047318;23;19
AB.DD.006;0.005512459649718745;36;10
AB.DD.007;0.005249837753713407;32;10
AB.DD.008;0.004109156156895655;20;12
AB.EE.001;0.00024806956958873616;1;3
AB.EE.002;0.0024912667511992376;16;8
AB.FF.001;0.0002516234102193877;2;6
AB.FF.002;0.0012384827350329641;10;13
AB.FF.003;0.0010955284300684504;8;3
AB.FF.004;0.00048218015274021015;5;4
AB.GG.002;0.00047264706436710667;6;8
AB.GG.003;0.0006453438918132061;6;7
AB.GG.004;0.004799712338561384;35;25
AB.GG.005;0.0030302357924783443;19;9
AB.GG.006;0.0033236455792889485;21;12
DS.JJ.002;0.0007249167973925067;7;4
PS.GG.019;0.002596981677814644;16;9
BD.EE.005;0.0005335430047240985;6;12
BD.HH.001;0.006473072462590294;58;7
DS.KK.005;0.001131927526878693;11;10
ER.AA.000;0.0011008058700130222;14;4
HB.AA.007;0.0053807410405808075;30;11
HB.AA.010;0.0014197397104262876;10;8
KD.JJ.004;0.004584623117342006;39;18
TS.AA.000;0.0018327920621957355;8;13
BM.AA.000;0.0025746464641505057;23;32
BM.CC.004;0.0012151290130559286;12;8
HB.AA.008;0.00863607833809916;45;5
IS.CC.006;0.0008136868613637273;8;4
KD.II.001;0.001987912209885385;21;29
KD.JJ.007;0.0031136988885414442;26;18
KD.JJ.008;0.0013714334964616526;11;13
LD.AA.000;0.006456858849268446;52;59
PS.AA.000;0.004588174057835135;36;20
TL.II.012;0.003167555368881281;27;14
BD.CC.001;0.002223482118011305;12;6
BD.CC.005;0.001142777832258678;9;2
BD.HH.006;0.002668274169749269;12;14
KD.CC.008;0.0005718961719582747;5;4
KD.GG.002;0.0010368881855670933;10;8
KD.GG.005;0.0013210067450990597;9;7
KD.II.003;0.0012674295407808346;13;8
TL.DD.005;0.00208724880983759;21;11
TL.HH.003;0.003041819822785158;27;16
HB.AA.009;0.006252893957110181;25;4
TS.AA.005;0.0034451650786328112;24;9
LD.AA.009;0.0014139784977829327;11;10
LD.GG.002;0.0021109679528678554;12;10
TL.BB.003;0.0070080468163895805;47;12
BC.AA.000;0.0010165845362249352;7;6
KD.GG.006;0.010161600374173366;64;20
PS.JJ.003;0.0036637525450023962;29;10
IS.CC.005;0.003238677412723866;27;9
KD.DD.002;0.007024469949624409;62;17
PS.GG.008;0.0010472627330749625;10;5
PS.HH.003;0.002295895764023612;15;12
BD.II.002;0.002395162956151504;18;12
